Interest rate,GDP growth,Inflation,Volume,FX rate,In,Index
6,2.54804356,2.9,28877562900,0.9667,10.42394015,4636.9
6,2.54804356,2.9,26366178100,0.9761,10.55500496,4733.4
6,2.54804356,2.9,23432741900,0.9618,10.89648341,4846.9
6.15,2.627411299,2.8,20168123600,1.0163,10.8054027,4850
6.15,2.627411299,2.8,22697165800,0.9924,11.043257,4923.6
6.1,2.627411299,2.8,35480709600,1.0163,9.557344064,4928.6
6.05,1.879183665,3.3,21818106000,1.0334,8.778054863,4899
6,1.879183665,3.3,21818106000,1.09,9.113422486,4899
6,1.879183665,3.3,26819273400,1.0709,9.674234946,4788.9
6,2.512980576,3.5,27261707400,1.0739,12.00585652,4659.8
6,2.512980576,3.5,25546834400,1.0954,11.34852802,4500.5
5.6,2.512980576,3.5,33032551100,1.0691,14.16803833,4369.9
5.45,3.206381004,3.4,30006982200,0.9781,12.22527473,4070.1
5.3,3.206381004,3.4,21840915700,1.0509,15.49232159,4360.5
5.2,3.206381004,3.4,18140301300,1.0021,15.41909458,4111
5,3.440498657,3,15765271800,1.0156,13.39883877,4325.7
5,3.440498657,3,23268683500,1.0637,11.82844244,4388.1
5,3.440498657,3,24272948400,1.0816,12.32813932,4420
5.1,4.759405457,1.6,16695280300,1.0402,14.04958678,4467.2
5.1,4.759405457,1.6,16695280300,1.0453,14.1219624,4467.2
4.85,4.759405457,1.6,22832288400,0.9727,14.75261008,4133.7
4.6,4.195918289,1.2,19891969700,1.0191,16.87668767,4135.5
4.4,4.195918289,1.2,17017518700,1.0526,14.98910675,4289.4
4.4,4.195918289,1.2,20528894000,1.0301,14.41364606,4339
4.4,3.384185672,2,19791326300,1.0464,6.236934723,4406.3
4.3,3.384185672,2,17543180700,1.0378,12.64789882,4535.4
4.25,3.384185672,2,14578307500,1.0431,8.408290966,4664.6
4.15,2.775234138,2.2,15864378200,1.0384,8.388349515,4901
4.15,2.775234138,2.2,17898313500,1.0394,9.61008271,5120.4
4.1,2.775234138,2.2,18549735300,1.0275,9.40654017,4979.9
4.05,2.261266903,2.5,18015469100,1.0426,8.527131783,5168.6
4.05,2.261266903,2.5,18015469100,1.0368,6.843800322,5168.6
3.95,2.261266903,2.5,22302054000,0.9649,5.544395339,4914
3.85,1.916992498,2.4,20223371000,0.9275,3.916139241,4775.4
3.7,1.916992498,2.4,19536461200,0.9037,1.155179053,5035.7
3.5,1.916992498,2.4,20221716000,0.8947,-0.113679424,5125.3
3.45,2.148767521,2.2,19353225300,0.9309,1.565411852,5217.7
3.4,2.148767521,2.2,18001101200,0.949,4.142794811,5420.3
3.4,2.148767521,2.2,15731190700,0.9087,1.231437885,5353.1
3.4,2.482448085,2.7,14523849900,0.8948,1.046176046,5205.1
3.35,2.482448085,2.7,20014581500,0.8763,1.039054102,5415.4
3.3,2.482448085,2.7,19250792100,0.8947,1.976284585,5403
3.3,2.798727088,2.9,14604101100,0.9221,2.915129151,5470.8
3.3,2.798727088,2.9,14604101100,0.9287,2.819548872,5470.8
3.3,2.798727088,2.9,16378159200,0.9319,3.805576488,5473.8
